All cities,Lag (weeks),Range (weeks),RMSE,MAE,MAPE
Yes,4,8,1364.4493920088298,533.2135287590746,46.94992721898762
Yes,4,12,1435.3669417138594,584.5967434577223,46.803880097262365
Yes,4,26,1283.0761848158052,551.2454710186653,60.36233086095004
Yes,4,52,1234.0100848261943,520.7900384866966,51.601334489487996
Yes,12,8,1940.5375510225626,836.3300155063845,102.75667095217554
Yes,12,12,1934.6384165801064,951.8593490888487,227.24272477196922
Yes,12,26,1727.25814962408,780.653060031387,134.36777685487476
Yes,12,52,1364.0183151270594,747.3541033762806,183.53970861327315
Yes,26,8,1737.187111975017,863.0392415388575,183.33570048762428
Yes,26,12,1737.188541124307,862.8031518144428,182.9442663778329
Yes,26,26,1789.3414611997343,795.743813568691,149.05871445096568
Yes,26,52,1794.5063133018803,869.231330871582,129.32024824114163
Yes,52,8,1229.2529798129467,652.8396206261976,225.4878629475552
Yes,52,12,1181.3286752654599,635.0380094996038,206.8844628845162
Yes,52,26,1407.6625855396896,791.2788989948776,210.97864308570044
Yes,52,52,1569.455977767841,814.4098928199625,159.6595281705029
